Date,Power_kW
28-01-2019 11:00,359.291
28-01-2019 12:00,292.215
28-01-2019 13:00,304.873
28-01-2019 14:00,307.226
28-01-2019 15:00,298.69
28-01-2019 16:00,282.482
28-01-2019 17:00,256.971
28-01-2019 18:00,229.847
28-01-2019 19:00,171.871
28-01-2019 20:00,140.557
28-01-2019 21:00,121.915
28-01-2019 22:00,109.748
28-01-2019 23:00,106.743
29-01-2019 00:00,109.208
29-01-2019 01:00,106.022
29-01-2019 02:00,104.861
29-01-2019 03:00,106.494
29-01-2019 04:00,103.742
29-01-2019 05:00,105.57
29-01-2019 06:00,115.717
29-01-2019 07:00,146.046
29-01-2019 08:00,192.801
29-01-2019 09:00,223.288
29-01-2019 10:00,253.813
29-01-2019 11:00,333.431
29-01-2019 12:00,304.773
29-01-2019 13:00,277.641
29-01-2019 14:00,317.032
29-01-2019 15:00,293.986
29-01-2019 16:00,288.861
29-01-2019 17:00,273.6
29-01-2019 18:00,235.493
29-01-2019 19:00,168.352
29-01-2019 20:00,151.647
29-01-2019 21:00,120.428
29-01-2019 22:00,112.551
29-01-2019 23:00,111.845
30-01-2019 00:00,110.366
30-01-2019 01:00,112.823
30-01-2019 02:00,107.586
30-01-2019 03:00,107.372
30-01-2019 04:00,107.115
30-01-2019 05:00,108.541
30-01-2019 06:00,112.708
30-01-2019 07:00,154.917
30-01-2019 08:00,197.053
30-01-2019 09:00,222.648
30-01-2019 10:00,255.879
30-01-2019 11:00,352.337
30-01-2019 12:00,303.964
30-01-2019 13:00,299.322
30-01-2019 14:00,313.762
30-01-2019 15:00,287.968
30-01-2019 16:00,280.73
30-01-2019 17:00,250.485
30-01-2019 18:00,225.105
30-01-2019 19:00,174.789
30-01-2019 20:00,146.939
30-01-2019 21:00,117.925
30-01-2019 22:00,106.728
30-01-2019 23:00,102.756
31-01-2019 00:00,103.88
31-01-2019 01:00,99.598
31-01-2019 02:00,100.767
31-01-2019 03:00,103.197
31-01-2019 04:00,98.908
31-01-2019 05:00,99.199
31-01-2019 06:00,112.347
31-01-2019 07:00,146.288
31-01-2019 08:00,194.457
31-01-2019 09:00,228.854
31-01-2019 10:00,255.373
31-01-2019 11:00,327.869
31-01-2019 12:00,290.456
31-01-2019 13:00,270.948
31-01-2019 14:00,296.57
31-01-2019 15:00,292.606
31-01-2019 16:00,277.365
31-01-2019 17:00,262.997
31-01-2019 18:00,223.982
31-01-2019 19:00,171.99
31-01-2019 20:00,148.799
31-01-2019 21:00,122.977
31-01-2019 22:00,112.167
31-01-2019 23:00,107.123
02-01-2019 00:00,88.493
02-01-2019 01:00,91.164
02-01-2019 02:00,88.056
02-01-2019 03:00,88.117
02-01-2019 04:00,89.758
02-01-2019 05:00,89.094
02-01-2019 06:00,90.942
02-01-2019 07:00,132.975
02-01-2019 08:00,162.269
02-01-2019 09:00,173.133
02-01-2019 10:00,199.885
02-01-2019 11:00,212.8
02-01-2019 12:00,214.253
02-01-2019 13:00,209.047
02-01-2019 14:00,216.652
02-01-2019 15:00,223.33
02-01-2019 16:00,215.602
02-01-2019 17:00,206.548
02-01-2019 18:00,179.864
02-01-2019 19:00,140.369
02-01-2019 20:00,128.528
02-01-2019 21:00,113.099
02-01-2019 22:00,100.499
02-01-2019 23:00,101.315
02-02-2019 00:00,103.573
02-02-2019 01:00,103.293
02-02-2019 02:00,106.517
02-02-2019 03:00,102.147
02-02-2019 04:00,107.905
02-02-2019 05:00,101.365
02-02-2019 06:00,100.019
02-02-2019 07:00,117.894
02-02-2019 08:00,111.972
02-02-2019 09:00,113.264
02-02-2019 10:00,113.095
02-02-2019 11:00,111.036
02-02-2019 12:00,119.163
02-02-2019 13:00,118.557
02-02-2019 14:00,118.837
02-02-2019 15:00,124.748
02-02-2019 16:00,123.571
02-02-2019 17:00,127.842
02-02-2019 18:00,122.74
02-02-2019 19:00,126.236
02-02-2019 20:00,124.595
02-02-2019 21:00,108.131
02-02-2019 22:00,110.711
02-02-2019 23:00,106.199
02-03-2019 00:00,115.77
02-03-2019 01:00,111.747
02-03-2019 02:00,114.983
02-03-2019 03:00,108.491
02-03-2019 04:00,112.485
02-03-2019 05:00,108.342
02-03-2019 06:00,108.317
02-03-2019 07:00,119.819
02-03-2019 08:00,123.214
02-03-2019 09:00,126.582
02-03-2019 10:00,124.982
02-03-2019 11:00,125.314
02-03-2019 12:00,127.316
02-03-2019 13:00,125.128
02-03-2019 14:00,128.033
02-03-2019 15:00,131.543
02-03-2019 16:00,128.487
02-03-2019 17:00,126.734
02-03-2019 18:00,130.692
02-03-2019 19:00,119.303
02-03-2019 20:00,115.564
02-03-2019 21:00,106.669
02-03-2019 22:00,103.076
02-03-2019 23:00,102.036
02-04-2019 00:00,111.903
02-04-2019 01:00,108.291
02-04-2019 02:00,108.673
02-04-2019 03:00,110.6
02-04-2019 04:00,107.589
02-04-2019 05:00,113.85
02-04-2019 06:00,117.297
02-04-2019 07:00,144.153
02-04-2019 08:00,194.142
02-04-2019 09:00,235.141
02-04-2019 10:00,388.962
02-04-2019 11:00,329.262
02-04-2019 12:00,338.15
02-04-2019 13:00,315.413
02-04-2019 14:00,337.57
02-04-2019 15:00,374.08
02-04-2019 16:00,363.304
02-04-2019 17:00,326.718
02-04-2019 18:00,272.271
02-04-2019 19:00,205.54
02-04-2019 20:00,150.847
02-04-2019 21:00,134.771
02-04-2019 22:00,118.539
02-04-2019 23:00,112.819
02-05-2019 00:00,109.003
02-05-2019 01:00,104.838
02-05-2019 02:00,104.541
02-05-2019 03:00,108.303
02-05-2019 04:00,103.99
02-05-2019 05:00,104.685
02-05-2019 06:00,123.474
02-05-2019 07:00,151.687
02-05-2019 08:00,185.435
02-05-2019 09:00,238.832
02-05-2019 10:00,379.451
02-05-2019 11:00,335.841
02-05-2019 12:00,339.626
02-05-2019 13:00,341.425
02-05-2019 14:00,372.435
02-05-2019 15:00,385.38
02-05-2019 16:00,410.125
02-05-2019 17:00,357.057
02-05-2019 18:00,329.771
02-05-2019 19:00,208.468
02-05-2019 20:00,161.326
02-05-2019 21:00,138.011
02-05-2019 22:00,109.796
02-05-2019 23:00,104.613
02-06-2019 00:00,0
02-06-2019 01:00,0
02-06-2019 02:00,0
02-06-2019 03:00,0
02-06-2019 04:00,0
02-06-2019 05:00,0
02-06-2019 06:00,0
02-06-2019 07:00,0
02-06-2019 08:00,0
02-06-2019 09:00,0
02-06-2019 10:00,0
02-06-2019 11:00,0
02-06-2019 12:00,0
02-06-2019 13:00,0
02-06-2019 14:00,0
02-06-2019 15:00,0
02-06-2019 16:00,0
02-06-2019 17:00,0
02-06-2019 18:00,0
02-06-2019 19:00,0
02-06-2019 20:00,114.969
02-06-2019 21:00,111.953
02-06-2019 22:00,112.096
02-06-2019 23:00,109.683
02-07-2019 00:00,114.132
02-07-2019 01:00,109.446
02-07-2019 02:00,109.216
02-07-2019 03:00,107.518
02-07-2019 04:00,110.086
02-07-2019 05:00,107.667
02-07-2019 06:00,119.138
02-07-2019 07:00,292.154
02-07-2019 08:00,352.053
02-07-2019 09:00,378.032
02-07-2019 10:00,429.905
02-07-2019 11:00,403.926
02-07-2019 12:00,425.607
02-07-2019 13:00,400.629
02-07-2019 14:00,403.98
02-07-2019 15:00,376.408
02-07-2019 16:00,394.45
02-07-2019 17:00,382.739
02-07-2019 18:00,355.398
02-07-2019 19:00,191.782
02-07-2019 20:00,146.062
02-07-2019 21:00,111.588
02-07-2019 22:00,109.001
02-07-2019 23:00,107.629
02-08-2019 00:00,106.643
02-08-2019 01:00,106.502
02-08-2019 02:00,102.174
02-08-2019 03:00,99.678
02-08-2019 04:00,105.29
02-08-2019 05:00,105.812
02-08-2019 06:00,106.831
02-08-2019 07:00,355.431
02-08-2019 08:00,259.547
02-08-2019 09:00,276.84
02-08-2019 10:00,307.748
02-08-2019 11:00,316.591
02-08-2019 12:00,333.987
02-08-2019 13:00,345.502
02-08-2019 14:00,371.251
02-08-2019 15:00,350.44
02-08-2019 16:00,343.969
02-08-2019 17:00,309.592
02-08-2019 18:00,274.248
02-08-2019 19:00,134.83
02-08-2019 20:00,104.811
02-08-2019 21:00,88.286
02-08-2019 22:00,88.887
02-08-2019 23:00,88.228
02-09-2019 00:00,95.718
02-09-2019 01:00,96.635
02-09-2019 02:00,94.411
